City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,miandrivazo,-19.5167,45.4667,23.11,83,92,0.61,MG,1683325255
1,qarqaraly,49.4058,75.4742,7.86,45,6,1.48,KZ,1683325256
2,faya-largeau,17.9257,19.1043,32.09,11,0,3.74,TD,1683325256
3,thompson,55.7435,-97.8558,16.09,33,20,3.09,CA,1683325256
4,weno,7.4515,151.8468,28.97,79,100,1.54,FM,1683325256
5,college,64.8569,-147.8028,11.18,35,75,1.54,US,1683325257
6,touros,-5.1989,-35.4608,26.46,81,6,4.99,BR,1683325257
7,puerto ayora,-0.7393,-90.3518,28.98,96,66,3.13,EC,1683325072
8,kapuskasing,49.4169,-82.4331,16.05,39,75,5.14,CA,1683325257
9,adamstown,-25.066,-130.1015,23.13,74,100,8.23,PN,1683325258
10,richards bay,-28.783,32.0377,19.52,89,2,2.0,ZA,1683325258
11,edinburgh of the seven seas,-37.0676,-12.3116,15.58,73,100,10.33,SH,1683325258
12,solnechnyy,50.7214,136.6319,6.34,52,100,1.13,RU,1683325258
13,punta arenas,-53.15,-70.9167,7.06,87,100,4.63,CL,1683325151
14,soio,-6.1349,12.3689,25.28,83,99,1.43,AO,1683325259
15,cestos city,5.46,-9.5828,27.37,82,99,3.98,LR,1683325259
16,puerto natales,-51.7236,-72.4875,9.99,98,99,1.4,CL,1683325259
17,port-aux-francais,-49.35,70.2167,6.56,78,91,12.64,TF,1683325260
18,bethel,41.3712,-73.414,15.57,70,100,3.09,US,1683325124
19,stanley,54.868,-1.6985,10.85,94,99,1.03,GB,1683325260
20,cariamanga,-4.3333,-79.55,20.43,76,63,1.4,EC,1683325260
21,filey,54.21,-0.2892,12.24,91,100,3.24,GB,1683325260
22,selfoss,63.9331,-20.9971,6.14,87,100,2.72,IS,1683325261
23,siaton,9.0648,123.0339,26.8,83,92,3.62,PH,1683325261
24,tual,-5.6667,132.75,27.71,82,100,5.94,ID,1683325261
25,burela de cabo,43.65,-7.4,13.98,77,99,2.28,ES,1683325261
26,cabedelo,-6.9811,-34.8339,27.37,84,2,5.31,BR,1683325262
27,la passe,45.5549,-0.8967,15.13,83,100,3.1,FR,1683325262
28,avarua,-21.2078,-159.775,28.03,83,100,7.2,CK,1683325262
29,i-n-salah,27.1935,2.4607,32.24,12,12,6.39,DZ,1683324981
30,kenai,60.5544,-151.2583,9.05,46,0,4.63,US,1683325111
31,invercargill,-46.4,168.35,13.49,84,40,2.58,NZ,1683325263
32,kolonia town,6.964,158.206,30.0,79,100,4.12,FM,1683325263
33,blackmans bay,-43.0167,147.3167,5.85,84,15,2.54,AU,1683325263
34,tambopata,-12.7333,-69.1833,23.94,94,75,1.54,PE,1683325263
35,chegdomyn,51.1167,133.0167,5.15,64,96,0.37,RU,1683325264
36,badger,64.8,-147.5333,11.14,34,75,1.54,US,1683325264
37,xinyuan,37.3,99.0,-0.96,94,98,1.23,CN,1683325264
38,bhadrachalam,17.6667,80.8833,27.02,79,100,1.53,IN,1683325264
39,ballina,-28.8667,153.5667,15.43,76,2,1.89,AU,1683325265
40,tiksi,71.6872,128.8694,-11.44,86,93,7.37,RU,1683325265
41,grytviken,-54.2811,-36.5092,2.46,88,66,5.42,GS,1683325265
42,sandnessjoen,66.0217,12.6316,-0.71,54,98,1.93,NO,1683325265
43,masterton,-40.9597,175.6575,16.6,78,100,1.99,NZ,1683325265
44,port elizabeth,-33.918,25.5701,19.16,95,40,3.09,ZA,1683325266
45,iqaluit,63.7506,-68.5145,1.85,80,75,4.63,CA,1683325266
46,alesund,62.4723,6.1549,8.75,71,0,4.12,NO,1683325266
47,lamu,-2.2717,40.902,27.12,85,3,4.41,KE,1683325269
48,qaqortoq,60.7167,-46.0333,2.43,67,40,0.7,GL,1683325270
49,albany,42.6001,-73.9662,17.47,50,96,1.79,US,1683325270
50,sitka,57.0531,-135.33,9.94,62,20,2.57,US,1683325270
51,kourou,5.1552,-52.6478,27.03,88,87,4.4,GF,1683325270
52,papatowai,-46.5619,169.4708,12.57,77,3,3.5,NZ,1683325271
53,kayangel,8.0823,134.7173,28.06,77,100,4.6,PW,1683325271
54,hermanus,-34.4187,19.2345,15.08,88,0,1.16,ZA,1683325271
55,aleg,17.0481,-13.9209,35.05,12,29,6.85,MR,1683325272
56,isafjordur,66.0755,-23.124,6.07,97,100,1.67,IS,1683325272
57,sur,22.5667,59.5289,27.56,63,33,4.87,OM,1683325272
58,hasaki,35.7333,140.8333,22.38,71,99,13.97,JP,1683325272
59,ribeira grande,38.5167,-28.7,17.65,96,100,4.92,PT,1683325272
60,olonkinbyen,70.9221,-8.7187,0.16,99,100,5.82,SJ,1683325273
61,saudarkrokur,65.7461,-19.6394,8.63,74,100,2.51,IS,1683325273
62,takahashi,34.7833,133.6167,19.54,86,96,1.08,JP,1683325273
63,happy valley-goose bay,53.3168,-60.3315,5.17,56,75,8.23,CA,1683325273
64,okhotsk,59.3833,143.3,1.73,78,63,1.01,RU,1683325274
65,waitangi,-43.9535,-176.5597,16.57,88,100,3.58,NZ,1683325274
66,bredasdorp,-34.5322,20.0403,12.98,86,0,2.02,ZA,1683325274
67,lihue,21.9789,-159.3672,27.58,66,40,8.23,US,1683325274
68,sisimiut,66.9395,-53.6735,0.44,82,100,1.38,GL,1683325274
69,forster,-32.1667,152.5167,12.99,100,0,2.07,AU,1683325275
70,tazovsky,67.4667,78.7,-6.07,95,75,5.41,RU,1683325275
71,chibougamau,49.9168,-74.3659,16.79,31,0,3.09,CA,1683325275
72,renukut,24.2,83.0333,25.97,37,2,1.4,IN,1683325275
73,tannum sands,-23.9504,151.3693,21.94,64,100,2.57,AU,1683325276
74,kimbe,-5.5502,150.1429,26.69,83,97,1.05,PG,1683325276
75,mathba,22.2855,89.9629,26.27,84,2,2.47,BD,1683325276
76,mar del plata,-38.0023,-57.5575,16.72,83,0,2.57,AR,1683325276
77,bikenibeu village,1.3673,173.1241,29.98,74,20,4.63,KI,1683325276
78,acapulco de juarez,16.8634,-99.8901,31.9,66,100,4.63,MX,1683325184
79,bandarbeyla,9.4942,50.8122,28.7,81,42,8.16,SO,1683325277
80,jamestown,42.097,-79.2353,15.29,54,0,4.12,US,1683325028
81,meulaboh,4.1363,96.1285,25.24,88,100,0.94,ID,1683325277
